0.946 ± 0.000,[0.94584639],beta 0.6,temperature 1,nfactor 5,nhidden 64,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 1,epochs 2000,lr 0.001,miniid 0,m 5
0.949 ± 0.000,[0.94936519 ,0.94901455,],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
0.951 ± 0.004,[0.95569539 ,0.94686327,],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
0.951 ± 0.004,[0.95440243 ,0.94719231,],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
0.950 ± 0.001,[0.94942976 ,0.95155649,],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 5,m 5
0.928 ± 0.004,[0.93200337 ,0.92351377,],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.938 ± 0.003,[0.93444729 ,0.94074744,],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.943 ± 0.002,[0.94035697 ,0.94532132,],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.950 ± 0.003,[0.9524948  ,0.94702538,],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.949 ± 0.001,[0.95012658 ,0.94874249,],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.953 ± 0.003,[0.95029606 ,0.95553836,],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.951 ± 0.002,[0.95285476 ,0.94967124,],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.949 ± 0.004,[0.94506016 ,0.95349514,],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.947 ± 0.002,[0.94511971 ,0.94937861,,],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 6,m 5
0.929 ± 0.001,[0.92789677 ,0.93058895,],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 7,m 5
0.943 ± 0.003,[0.94659252 ,0.94026844,],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 2,epochs 2000,lr 0.001,miniid 7,m 5
0.944 ± 0.000,[0.94373726 ,0.94337238,],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 7,m 5
0.947 ± 0.000,[0.94664173 ,0.94650505,],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 7,m 5
0.952 ± 0.003,[0.95445486 ,0.94856906,],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 7,m 5
0.950 ± 0.004,[0.94616145 ,0.95378201,],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 7,m 5
0.954 ± 0.001,[0.95487653 ,0.95372552,],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 7,m 5
0.954 ± 0.000,[0.95420548 ,0.95425254,],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 7,m 5
0.950 ± 0.000,[0.94967977 ,0.94983174,],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 7,m 5
